名称,面积,朝向,户型,位置,楼层,是否有电梯,建成时间, 门锁,绿化
自如友家·金地国际花园·4居室-01卧,20.5㎡,朝南,4室1厅,"
小区距2号线积玉桥站步行约45米
 ",18/32,有,2012年建成,智能门锁,25%
自如友家·葛洲坝国际广场(江汉)·3居室-01卧,18.5㎡,朝南,3室1厅,"
小区距2号线范湖站步行约528米
 ",26/42,有,2012年建成,智能门锁,36%
自如友家·绿地国际金融城一期·4居室-01卧,30.8㎡,朝南,4室1厅,"
小区距5号线三角路站步行约246米
 ",5/48,有,2013年建成,智能门锁,30%
自如友家·复地东湖国际七期·4居室-01卧,18.8㎡,朝南,4室1厅,"
小区距8号线中南医院站步行约290米
 ",26/32,有,2017年建成,智能门锁,35%
自如友家·鹏程蕙园·4居室-01卧,18.19㎡,朝南,4室1厅,"
小区距2号线街道口站步行约450米
 ",11/31,有,2006年建成,智能门锁,37%
自如友家·世纪江尚·5居室-01卧,18㎡,朝南,5室1厅,"
小区距2号线江汉路站步行约562米
 ",11/57,有,2016年建成,智能门锁,25%
自如友家·安顺星苑·5居室-01卧,17.8㎡,朝西,5室1厅,"
小区距4号线楚河汉街站步行约475米
 ",8/12,有,2003年建成,智能门锁,35%
自如友家·复地东湖国际七期·5居室-01卧,19㎡,朝南,5室1厅,"
小区距8号线中南医院站步行约535米
 ",16/32,有,2017年建成,智能门锁,35%
自如友家·安顺家园·5居室-01卧,22.9㎡,朝南,5室1厅,"
小区距4号线楚河汉街站步行约845米
 ",3/18,有,2008年建成,智能门锁,31%
自如友家·中心嘉园·3居室-01卧,15.4㎡,朝南,3室1厅,"
小区距1号线利济北路站步行约86米
 ",9/30,有,2009年建成,智能门锁,35%
自如友家·鹏程蕙园·4居室-01卧,18.9㎡,朝南,4室1厅,"
小区距2号线街道口站步行约227米
 ",25/31,有,2006年建成,智能门锁,37%
自如友家·越秀国际金融汇二期·4居室-01卧,16㎡,朝南,4室1厅,"
小区距2号线循礼门站步行约676米
 ",5/45,有,2017年建成,智能门锁,45%
自如友家·复地东湖国际七期·4居室-01卧,18.78㎡,朝南,4室1厅,"
小区距8号线中南医院站步行约290米
 ",3/32,有,2017年建成,智能门锁,35%
自如友家·安顺星苑·3居室-01卧,17㎡,朝北,3室1厅,"
小区距4号线楚河汉街站步行约493米
 ",8/12,有,2003年建成,智能门锁,35%
自如友家·中心嘉园·5居室-01卧,17.5㎡,朝南,5室1厅,"
小区距1号线利济北路站步行约191米
 ",12/18,有,2009年建成,智能门锁,35%
自如友家·江山如画三期·3居室-01卧,25.34㎡,朝南,3室1厅,"
小区距6号线武胜路站步行约780米
 ",23/26,有,2015年建成,智能门锁,20%
自如友家·加州阳光·5居室-01卧,16.1㎡,朝南,5室1厅,"
小区距2号线珞雄路站步行约456米
 ",11/32,有,2010年建成,智能门锁,42%
自如友家·银海雅苑·4居室-01卧,17㎡,朝南,4室1厅,"
小区距2号线广埠屯站步行约284米
 ",12/32,有,2015年建成,智能门锁,35%
自如友家·复地东湖国际七期·4居室-01卧,18.78㎡,朝南,4室1厅,"
小区距8号线中南医院站步行约290米
 ",29/32,有,2017年建成,智能门锁,35%
自如友家·中心嘉园·4居室-01卧,19.9㎡,朝南,4室1厅,"
小区距1号线利济北路站步行约631米
 ",8/19,有,2009年建成,智能门锁,35%
业主直租·泛悦城·2居室,112㎡,朝南,2室1厅,"
小区距2号线华中科技大学站步行约755米
 ",17/18,有,2021年建成,普通门锁,30%
自如友家·常阳永清城·5居室-01卧,16.8㎡,朝南,5室1厅,"
小区距1号线黄浦路站步行约17米
 ",7/32,有,2009年建成,智能门锁,30%
自如友家·铁机盛世家园·4居室-01卧,16.5㎡,朝南,4室1厅,"
小区距4号线园林路站步行约619米
 ",19/24,有,2001年建成,智能门锁,50%
自如友家·华乐山庄·3居室-01卧,18.8㎡,朝南,3室1厅,"
小区距2号线光谷广场站步行约911米
 ",5/7,无,2002年建成,智能门锁,33%
自如友家·香港路穗丰花园·4居室-02卧,18.5㎡,朝南,4室1厅,"
小区距6号线三眼桥站步行约332米
 ",4/8,无,2003年建成,智能门锁,35%
自如友家·汉口春天·4居室-01卧,17.7㎡,朝东,4室1厅,"
小区距1号线古田三路站步行约494米
 ",6/6,无,2007年建成,智能门锁,40%
自如友家·当代国际花园一期·4居室-01卧,16.39㎡,朝南,4室1厅,"
小区距2号线金融港北站步行约400米
 ",3/6,无,2006年建成,智能门锁,35%
自如友家·安顺星苑·5居室-01卧,18.36㎡,朝南,5室1厅,"
小区距4号线楚河汉街站步行约493米
 ",3/12,有,2003年建成,智能门锁,35%
自如友家·铁机盛世家园·3居室-03卧,17.4㎡,朝南,3室1厅,"
小区距4号线园林路站步行约252米
 ",15/30,有,2001年建成,智能门锁,50%
自如友家·美联奥林匹克花园二期·4居室-05卧,23㎡,朝南,4室1厅,"
小区距2号线金银潭站步行约892米
 ",26/33,有,2014年建成,智能门锁,30%
自如友家·英特小区·3居室-01卧,18.58㎡,朝南,3室1厅,"
小区距8号线岳家嘴站步行约463米
 ",5/6,无,2001年建成,智能门锁,32%
自如友家·宝利金国际广场·3居室-01卧,14㎡,朝南,3室1厅,"
小区距2号线江汉路站步行约434米
 ",29/33,有,2017年建成,智能门锁,20%
自如友家·星悦城五期棠颂·4居室-05卧,14.9㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约478米
 ",11/45,有,2021年建成,智能门锁,30%
自如友家·保利华都·4居室-01卧,14.68㎡,朝南,4室1厅,"
小区距2号线杨家湾站步行约176米
 ",20/29,有,2012年建成,智能门锁,30%
自如友家·当代东湖壹号·5居室-01卧,14.9㎡,朝南,5室1厅,"
小区距8号线中南医院站步行约964米
 ",15/26,有,2012年建成,智能门锁,35%
自如友家·琨瑜府三期·4居室-01卧,16㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约818米
 ",15/57,有,2022年建成,智能门锁,30%
自如友家·华乐花园·4居室-05卧,18.6㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约492米
 ",6/11,有,2006年建成,智能门锁,38%
自如友家·时尚欧洲·4居室-02卧,14.8㎡,朝西,4室1厅,"
小区距8号线徐东站步行约503米
 ",11/15,有,2004年建成,智能门锁,31%
自如友家·新华明珠·5居室-06卧,24.3㎡,朝西,5室1厅,"
小区距7号线取水楼站步行约690米
 ",13/30,有,2008年建成,智能门锁,30%
自如友家·汉口城市广场五期·4居室-01卧,14.2㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约768米
 ",3/32,有,2017年建成,智能门锁,35%
自如友家·卧龙剑桥春天·4居室-02卧,12.8㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约431米
 ",5/6,无,2004年建成,智能门锁,35%
自如友家·王家湾中央生活区·4居室-05卧,14.52㎡,朝南,4室1厅,"
小区距3号线王家湾站步行约533米
 ",25/29,有,2016年建成,智能门锁,40%
自如友家·福星城南区·3居室-01卧,21.3㎡,朝南,3室1厅,"
小区距2号线长港路站步行约977米
 ",5/51,有,2013年建成,智能门锁,30%
自如友家·奥山创意街区·4居室-01卧,16.26㎡,朝南,4室1厅,"
小区距2号线中南路站步行约425米
 ",27/28,有,2016年建成,智能门锁,17%
自如友家·汉江湾壹号·4居室-02卧,14.8㎡,朝南,4室1厅,"
小区距1号线古田一路站步行约312米
 ",12/42,有,2017年建成,智能门锁,25%
自如友家·复地东湖国际七期·5居室-01卧,19.03㎡,朝南,5室1厅,"
小区距8号线中南医院站步行约535米
 ",3/32,有,2017年建成,智能门锁,35%
自如友家·复地东湖国际七期·5居室-01卧,19.1㎡,朝南,5室1厅,"
小区距8号线中南医院站步行约535米
 ",12/32,有,2017年建成,智能门锁,35%
自如友家·楚天雅苑·3居室-03卧,14㎡,朝南,3室1厅,"
小区距5号线张家湾站步行约289米
 ",6/32,有,2021年建成,智能门锁,30%
自如友家·光谷中心花园·5居室-03卧,18.59㎡,朝南,5室2厅,"
小区距2号线光谷广场站步行约523米
 ",26/33,有,2007年建成,智能门锁,38%
自如友家·琨瑜府一期·4居室-01卧,13.6㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约765米
 ",52/58,有,2019年建成,智能门锁,30%
自如友家·福星惠誉东湖城·4居室-05卧,15.5㎡,朝南,4室1厅,"
小区距4号线罗家港站步行约717米
 ",11/42,有,2021年建成,智能门锁,35%
自如友家·琨瑜府一期·4居室-05卧,14㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约765米
 ",9/58,有,2019年建成,智能门锁,30%
自如友家·琨瑜府一期·5居室-01卧,16.3㎡,朝南,5室1厅,"
小区距2号线华中科技大学站步行约1059米
 ",33/34,有,2019年建成,智能门锁,30%
自如友家·顶琇晶城·4居室-01卧,15.5㎡,朝南,4室1厅,"
小区距6号线唐家墩站步行约324米
 ",7/32,有,2009年建成,智能门锁,33%
自如友家·东湖花园一期·3居室-03卧,21.9㎡,朝南,3室1厅,"
小区距4号线铁机路站步行约774米
 ",10/13,有,2011年建成,智能门锁,35%
自如友家·中建光谷之星·6居室-07卧,15.6㎡,朝南,6室1厅,"
小区距11号线豹澥站步行约1013米
 ",15/20,有,2019年建成,智能门锁,30%
自如友家·地铁时代常青城·4居室-01卧,15.6㎡,朝南,4室1厅,"
小区距2号线常青城站步行约800米
 ",14/16,有,2017年建成,智能门锁,30%
自如友家·向阳佳苑A区·4居室-01卧,18.5㎡,朝南,4室1厅,"
小区距4号线梅苑小区站步行约1293米
 ",11/35,有,2017年建成,智能门锁,10%
自如友家·钰龙湾丰园·3居室-02卧,16.22㎡,朝南,3室1厅,"
小区距4号线七里庙站步行约454米
 ",37/40,有,2018年建成,智能门锁,25%
自如友家·地铁鑫城·3居室-03卧,14㎡,朝南,3室1厅,"
小区距1号线头道街站步行约410米
 ",3/31,有,2014年建成,智能门锁,40%
自如友家·惠风同庆花园蜜糖镇·4居室-05卧,23㎡,朝南,4室1厅,"
小区距2号线佛祖岭站步行约1313米
 ",27/28,有,2014年建成,智能门锁,35%
自如友家·汉江湾壹号·4居室-02卧,15.6㎡,朝南,4室1厅,"
小区距1号线古田一路站步行约312米
 ",22/42,有,2017年建成,智能门锁,25%
自如友家·世茂锦绣长江五期·4居室-01卧,17.3㎡,朝南,4室1厅,"
小区距6号线马鹦路站步行约841米
 ",55/55,有,2016年建成,智能门锁,40%
自如友家·琨瑜府三期·5居室-06卧,18㎡,朝南,5室1厅,"
小区距2号线华中科技大学站步行约1092米
 ",45/57,有,2022年建成,智能门锁,30%
自如友家·加州阳光·4居室-05卧,14.5㎡,朝南,4室1厅,"
小区距2号线珞雄路站步行约333米
 ",23/32,有,2010年建成,智能门锁,42%
自如友家·安顺家园·3居室-03卧,19.8㎡,朝南,3室1厅,"
小区距4号线楚河汉街站步行约399米
 ",21/22,有,2008年建成,智能门锁,31%
自如友家·国际百纳·3居室-01卧,14.5㎡,朝南,3室1厅,"
小区距8号线中一路站步行约176米
 ",16/46,有,2015年建成,智能门锁,35%
自如友家·琨瑜府三期·4居室-05卧,13.5㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约818米
 ",5/57,有,2022年建成,智能门锁,30%
自如友家·光谷188国际社区·5居室-06卧,16.03㎡,朝南,5室1厅,"
小区距11号线豹澥站步行约743米
 ",12/32,有,2018年建成,智能门锁,40%
自如友家·五里汉城·4居室-05卧,17.8㎡,朝南,4室1厅,"
小区距4号线汉阳火车站站步行约579米
 ",7/11,有,2005年建成,智能门锁,32%
自如友家·铁机盛世家园·3居室-03卧,17.2㎡,朝南,3室1厅,"
小区距4号线园林路站步行约451米
 ",29/30,有,2001年建成,智能门锁,50%
自如友家·江山如画二期·4居室-01卧,15.8㎡,朝南,4室1厅,"
小区距6号线武胜路站步行约330米
 ",13/23,有,2014年建成,智能门锁,暂无数据
自如友家·碧桂园云玺·5居室-01卧,14.5㎡,朝南,5室1厅,"
小区距11号线光谷六路站步行约454米
 ",10/30,有,2021年建成,智能门锁,30%
自如友家·葛洲坝城市花园·4居室-05卧,15㎡,朝南,4室1厅,"
小区距1号线硚口路站步行约270米
 ",8/29,有,2015年建成,智能门锁,35%
自如友家·凯乐桂园·5居室-06卧,12.1㎡,朝南,5室2厅,"
小区距2号线虎泉站步行约589米
 ",11/30,有,2019年建成,智能门锁,40%
自如友家·磨山港湾·3居室-03卧,17.2㎡,朝南,3室1厅,"
小区距4号线玉龙路站步行约576米
 ",28/32,有,2017年建成,智能门锁,25%
自如友家·群光上苑·4居室-05卧,14.6㎡,朝北,4室1厅,"
小区距2号线街道口站步行约286米
 ",20/30,有,2017年建成,智能门锁,35%
自如友家·常青花园恒大御景·5居室-01卧,14.7㎡,朝南,5室1厅,"
小区距2号线常青花园站步行约335米
 ",25/32,有,2021年建成,智能门锁,30%
自如友家·碧桂园云玺·4居室-05卧,17.5㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约712米
 ",3/24,有,2021年建成,智能门锁,30%
自如友家·统建锦绣江南·4居室-05卧,17.55㎡,朝南,4室1厅,"
小区距8号线省博湖北日报站步行约923米
 ",18/32,有,2010年建成,智能门锁,36%
自如友家·百步亭金桥汇II期·5居室-01卧,25㎡,朝南,5室1厅,"
小区距8号线塔子湖站步行约1125米
 ",19/46,有,2016年建成,智能门锁,35%
自如友家·保利香槟国际·4居室-01卧,12.47㎡,朝南,4室1厅,"
小区距1号线汉西一路站步行约571米
 ",20/34,有,2013年建成,智能门锁,45%
自如友家·当代国际花园一期·3居室-02卧,13㎡,朝南,3室1厅,"
小区距2号线金融港北站步行约187米
 ",3/4,有,2006年建成,智能门锁,35%
自如友家·欧林湾·5居室-01卧,13.9㎡,朝南,5室1厅,"
小区距5号线三层楼站步行约199米
 ",25/29,有,2011年建成,智能门锁,35%
自如友家·汉口花园一期B区·4居室-05卧,22.06㎡,朝南,4室1厅,"
小区距6号线石桥站步行约283米
 ",1/6,无,2005年建成,智能门锁,40%
自如友家·安顺家园·4居室-01卧,16㎡,朝南,4室1厅,"
小区距4号线楚河汉街站步行约627米
 ",4/18,有,2008年建成,智能门锁,31%
自如友家·琨瑜府三期·5居室-01卧,16.5㎡,朝南,5室1厅,"
小区距2号线光谷大道站步行约896米
 ",3/57,有,2022年建成,智能门锁,30%
自如友家·国创光谷上城·5居室-06卧,18.48㎡,朝南,5室1厅,"
小区距11号线湖口站步行约564米
 ",4/11,有,2016年建成,智能门锁,35%
自如友家·水岸星城·4居室-01卧,20.2㎡,朝南,4室1厅,"
小区距8号线汪家墩站步行约1157米
 ",15/26,有,2010年建成,智能门锁,50%
自如友家·泛悦城·4居室-05卧,14.9㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约636米
 ",5/58,有,2021年建成,智能门锁,30%
自如友家·鹏程蕙园·4居室-01卧,13.8㎡,朝南,4室1厅,"
小区距2号线街道口站步行约258米
 ",21/30,有,2006年建成,智能门锁,37%
自如友家·华锦花园·3居室-03卧,18.86㎡,朝北,3室1厅,"
小区距7号线建安街站步行约608米
 ",3/7,无,2000年建成,智能门锁,37%
自如友家·学府鑫苑·3居室-03卧,24.82㎡,朝西,3室1厅,"
小区距2号线街道口站步行约606米
 ",17/31,有,2017年建成,智能门锁,30%
自如友家·华乐花园·4居室-02卧,16.52㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约256米
 ",9/11,有,2006年建成,智能门锁,38%
自如友家·保利上城西区·4居室-05卧,15.88㎡,朝南,4室1厅,"
小区距5号线张家湾站步行约394米
 ",16/40,有,2021年建成,智能门锁,30%
自如友家·世纪江尚·4居室-01卧,18.3㎡,朝南,4室1厅,"
小区距2号线江汉路站步行约656米
 ",15/57,有,2016年建成,智能门锁,25%
自如友家·锦绣人家·5居室-01卧,17.4㎡,朝南,5室1厅,"
小区距2号线长港路站步行约752米
 ",8/12,有,2006年建成,智能门锁,43%
自如友家·紫藤花园·7居室-08卧,20.7㎡,朝南,7室1厅,"
小区距6号线三眼桥站步行约343米
 ",6/7,无,2003年建成,智能门锁,38%
自如友家·复地东湖国际四期·4居室-01卧,17.5㎡,朝南,4室1厅,"
小区距4号线青鱼嘴站步行约688米
 ",10/32,有,2014年建成,智能门锁,43%
自如友家·百步亭长青壹号·3居室-01卧,16.7㎡,朝南,3室1厅,"
小区距2号线常青花园站步行约549米
 ",30/32,有,2019年建成,智能门锁,30%
自如友家·华城花园·4居室-01卧,18.4㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约412米
 ",5/7,无,2002年建成,智能门锁,32%
自如友家·汉口新界广场·4居室-05卧,13.8㎡,朝南,4室1厅,"
小区距2号线青年路站步行约756米
 ",9/43,有,2018年建成,智能门锁,22%
自如友家·翰林尚苑·4居室-01卧,14.4㎡,朝南,4室1厅,"
小区距7号线新路村站步行约696米
 ",19/24,有,2020年建成,智能门锁,30%
自如友家·统建锦绣江南·5居室-06卧,17.92㎡,朝南,5室1厅,"
小区距4号线青鱼嘴站步行约947米
 ",11/18,有,2010年建成,智能门锁,36%
自如友家·南国中心·4居室-01卧,13.5㎡,朝南,4室1厅,"
小区距2号线循礼门站步行约568米
 ",9/47,有,2016年建成,智能门锁,24%
自如友家·统建锦绣江南·5居室-06卧,19㎡,朝南,5室1厅,"
小区距4号线东亭站步行约965米
 ",5/18,有,2010年建成,智能门锁,36%
自如友家·翰林尚苑·4居室-05卧,15.2㎡,朝南,4室1厅,"
小区距7号线新路村站步行约696米
 ",19/24,有,2020年建成,智能门锁,30%
自如友家·国创光谷上城·4居室-05卧,14.4㎡,朝南,4室1厅,"
小区距11号线湖口站步行约754米
 ",14/33,有,2016年建成,智能门锁,35%
自如友家·顶琇晶城·3居室-03卧,20㎡,朝西,3室1厅,"
小区距6号线唐家墩站步行约307米
 ",25/31,有,2009年建成,智能门锁,33%
自如友家·石桥花园B区·4居室-01卧,14.5㎡,朝南,4室1厅,"
小区距6号线石桥站步行约484米
 ",20/32,有,2009年建成,智能门锁,30%
自如友家·千禧城·5居室-06卧,18.5㎡,朝东,5室1厅,"
小区距1号线古田三路站步行约671米
 ",5/46,有,2019年建成,智能门锁,55%
自如友家·泷悦华府·5居室-06卧,16.8㎡,朝南,5室1厅,"
小区距2号线光谷大道站步行约1040米
 ",13/44,有,2019年建成,智能门锁,24%
自如友家·汉阳人信汇四期天誉·3居室-01卧,14.8㎡,朝南,3室1厅,"
小区距3号线龙阳村站步行约321米
 ",44/46,有,2018年建成,智能门锁,35%
自如友家·江南明珠园·4居室-02卧,15.7㎡,朝南,4室1厅,"
小区距5号线三层楼站步行约352米
 ",6/9,有,2004年建成,智能门锁,49%
自如友家·绿地光谷中心城·4居室-05卧,14.1㎡,朝南,4室1厅,"
小区距11号线光谷五路站步行约496米
 ",4/33,有,2021年建成,智能门锁,35%
自如友家·光谷188国际社区·5居室-06卧,17.5㎡,朝南,5室1厅,"
小区距11号线光谷六路站步行约893米
 ",15/24,有,2018年建成,智能门锁,40%
自如友家·岳家嘴小区三期·4居室-05卧,15㎡,朝南,4室1厅,"
小区距4号线铁机路站步行约459米
 ",7/24,有,2013年建成,智能门锁,35%
自如友家·融侨华府·3居室-03卧,15.5㎡,朝南,3室1厅,"
小区距5号线三层楼站步行约250米
 ",11/34,有,2015年建成,智能门锁,39%
自如友家·常青花园五小区·3居室-03卧,16.1㎡,朝南,3室1厅,"
小区距2号线金银潭站步行约382米
 ",2/11,有,2006年建成,智能门锁,40%
自如友家·同鑫花园·4居室-01卧,17㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约301米
 ",5/6,无,2006年建成,智能门锁,35%
自如友家·黎明新居·3居室-03卧,13㎡,朝南,3室1厅,"
小区距8号线马房山站步行约405米
 ",26/32,有,2016年建成,智能门锁,28%
自如友家·千禧城·4居室-01卧,10.8㎡,朝南,4室1厅,"
小区距1号线古田三路站步行约19米
 ",13/47,有,2019年建成,智能门锁,55%
自如友家·光谷悦城·4居室-05卧,16.37㎡,朝南,4室1厅,"
小区距2号线黄龙山路站步行约1197米
 ",5/33,有,2017年建成,智能门锁,35%
自如友家·常青花园恒大御景·4居室-05卧,13.8㎡,朝南,4室1厅,"
小区距2号线常青花园站步行约269米
 ",6/32,有,2021年建成,智能门锁,30%
自如友家·中心嘉园·4居室-01卧,17.5㎡,朝南,4室1厅,"
小区距1号线利济北路站步行约631米
 ",15/19,有,2009年建成,智能门锁,35%
自如友家·伟鹏苑·4居室-05卧,18.4㎡,朝南,4室1厅,"
小区距4号线青鱼嘴站步行约690米
 ",3/13,有,2001年建成,智能门锁,47%
自如友家·金色雅园金沙苑·5居室-01卧,14.92㎡,朝南,5室1厅,"
小区距2号线长港路站步行约224米
 ",4/6,无,2003年建成,智能门锁,38%
自如友家·光谷未来城·4居室-01卧,13.5㎡,朝南,4室1厅,"
小区距2号线武汉东站站步行约1061米
 ",13/24,有,2022年建成,智能门锁,30%
自如友家·帝斯曼国际中心·4居室-05卧,16.5㎡,朝南,4室1厅,"
小区距2号线中南路站步行约487米
 ",7/38,有,2016年建成,智能门锁,35%
自如友家·绿地国际金融城二期·4居室-01卧,15.01㎡,朝南,4室1厅,"
小区距5号线三角路站步行约149米
 ",2/32,有,2015年建成,智能门锁,30%
自如友家·泰合花园·4居室-05卧,28㎡,朝南,4室1厅,"
小区距2号线王家墩东站步行约721米
 ",3/11,有,2000年建成,智能门锁,30%
自如友家·统建天成美景·5居室-01卧,13.1㎡,朝南,5室1厅,"
小区距2号线武汉东站站步行约271米
 ",15/33,有,2017年建成,智能门锁,35%
自如友家·东谷银座·4居室-05卧,19.5㎡,朝南,4室1厅,"
小区距2号线光谷广场站步行约1000米
 ",3/27,有,2008年建成,智能门锁,40%
自如友家·琨瑜府三期·4居室-05卧,14㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约818米
 ",57/57,有,2022年建成,智能门锁,30%
自如友家·汉口城市广场四期·5居室-06卧,16.7㎡,朝南,5室1厅,"
小区距3号线后湖大道站步行约452米
 ",11/31,有,2017年建成,智能门锁,35%
自如友家·卧龙剑桥春天·4居室-05卧,17.1㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约483米
 ",2/6,无,2004年建成,智能门锁,35%
自如友家·琨瑜府三期·4居室-01卧,14.5㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约1092米
 ",42/57,有,2022年建成,智能门锁,30%
业主直租·泛悦城·1居室,67㎡,朝南,1室1厅,"
小区距2号线华中科技大学站步行约771米
 ",28/48,有,2021年建成,普通门锁,30%
自如友家·磨山港湾·4居室-05卧,16.5㎡,朝南,4室1厅,"
小区距4号线玉龙路站步行约596米
 ",14/45,有,2017年建成,智能门锁,25%
自如友家·福星城市花园·5居室-06卧,18.6㎡,朝西,5室1厅,"
小区距7号线取水楼站步行约848米
 ",16/18,有,2016年建成,智能门锁,34%
自如友家·世纪江尚·5居室-06卧,17.3㎡,朝南,5室1厅,"
小区距2号线江汉路站步行约562米
 ",11/57,有,2016年建成,智能门锁,25%
自如友家·百瑞景中央生活区六期·5居室-06卧,17.6㎡,朝南,5室1厅,"
小区距2号线宝通寺站步行约1198米
 ",8/42,有,2016年建成,智能门锁,35%
自如友家·金地圣爱米伦·5居室-01卧,21㎡,朝南,5室1厅,"
小区距7号线湖工大站步行约1148米
 ",26/31,有,2014年建成,智能门锁,30%
自如友家·国际百纳·3居室-01卧,15㎡,朝南,3室1厅,"
小区距8号线中一路站步行约176米
 ",17/46,有,2015年建成,智能门锁,35%
自如友家·圆梦美丽家园·4居室-05卧,16.62㎡,朝南,4室1厅,"
小区距8号线马房山站步行约506米
 ",5/6,无,2011年建成,智能门锁,42%
自如友家·保利新武昌·4居室-05卧,14.6㎡,朝南,4室1厅,"
小区距5号线张家湾站步行约551米
 ",21/31,有,2021年建成,智能门锁,33%
自如友家·2008新长江广场·4居室-05卧,13.45㎡,朝南,4室1厅,"
小区距2号线螃蟹岬站步行约50米
 ",25/30,有,2006年建成,智能门锁,36%
自如友家·江南明珠园·4居室-05卧,15.5㎡,朝西南,4室1厅,"
小区距5号线三层楼站步行约352米
 ",5/11,有,2004年建成,智能门锁,49%
自如友家·联投驿园·4居室-01卧,13.3㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约468米
 ",20/32,有,2020年建成,智能门锁,45%
自如友家·同馨花园二期·4居室-05卧,18.9㎡,朝南,4室1厅,"
小区距1号线硚口路站步行约625米
 ",9/20,有,2011年建成,智能门锁,27%
自如友家·汉口花园逸松庭·4居室-01卧,14.74㎡,朝南,4室1厅,"
小区距6号线石桥站步行约525米
 ",2/11,有,2006年建成,智能门锁,36%
自如友家·南益巴黎豪庭·4居室-05卧,14.4㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约473米
 ",5/11,有,2007年建成,智能门锁,38%
自如友家·地铁紫阳城·3居室-03卧,13.68㎡,朝东,3室1厅,"
小区距4号线梅苑小区站步行约274米
 ",7/32,有,2018年建成,智能门锁,20%
自如友家·葛洲坝城市花园·4居室-05卧,16㎡,朝北,4室1厅,"
小区距1号线硚口路站步行约614米
 ",4/33,有,2015年建成,智能门锁,35%
自如友家·世茂锦绣长江五期·4居室-02卧,13.5㎡,朝南,4室1厅,"
小区距6号线马鹦路站步行约194米
 ",30/52,有,2016年建成,智能门锁,40%
自如友家·金涛铭座·4居室-05卧,15.35㎡,朝南,4室1厅,"
小区距7号线武昌火车站站步行约477米
 ",8/30,有,2006年建成,智能门锁,10%
自如友家·新澳蓝草坪·5居室-01卧,17.8㎡,朝南,5室1厅,"
小区距3号线龙阳村站步行约455米
 ",9/11,有,2008年建成,智能门锁,36%
自如友家·米兰映象·4居室-05卧,14.4㎡,朝南,4室1厅,"
小区距2号线珞雄路站步行约477米
 ",11/33,有,2012年建成,智能门锁,35%
自如友家·华乐花园·5居室-06卧,18.6㎡,朝北,5室1厅,"
小区距2号线光谷大道站步行约314米
 ",2/11,有,2006年建成,智能门锁,38%
自如友家·保利华都·3居室-03卧,16.8㎡,朝南,3室1厅,"
小区距2号线杨家湾站步行约493米
 ",7/18,有,2012年建成,智能门锁,30%
自如友家·江山如画三期·3居室-03卧,18.4㎡,朝南,3室1厅,"
小区距6号线武胜路站步行约626米
 ",26/28,有,2015年建成,智能门锁,20%
自如友家·金融街壹号·4居室-05卧,12㎡,朝南,4室1厅,"
小区距3号线赵家条站步行约256米
 ",14/45,有,2017年建成,智能门锁,35%
自如友家·塔子湖兴隆苑·5居室-06卧,14.2㎡,朝南,5室1厅,"
小区距8号线塔子湖站步行约285米
 ",15/30,有,2013年建成,智能门锁,30%
自如友家·当代国际花园三期·5居室-06卧,23㎡,朝南,5室1厅,"
小区距2号线金融港北站步行约758米
 ",5/6,无,2012年建成,智能门锁,35%
自如友家·江汉人家·3居室-03卧,11.9㎡,朝南,3室1厅,"
小区距6号线石桥站步行约908米
 ",19/41,有,2020年建成,智能门锁,23%
自如友家·香港映象·3居室-01卧,14.1㎡,朝南,3室1厅,"
小区距1号线古田四路站步行约492米
 ",9/11,有,2006年建成,智能门锁,35%
自如友家·新世界常青花园雁溪山·3居室-03卧,21.3㎡,朝南,3室1厅,"
小区距2号线金银潭站步行约963米
 ",17/18,有,2014年建成,智能门锁,35%
自如友家·融侨锦城·4居室-03卧,10.9㎡,朝南,4室1厅,"
小区距1号线古田三路站步行约222米
 ",10/18,有,2007年建成,智能门锁,36%
自如友家·葛洲坝城市花园·4居室-05卧,16.4㎡,朝南,4室1厅,"
小区距1号线硚口路站步行约405米
 ",16/29,有,2015年建成,智能门锁,35%
自如友家·地铁时代常青城·4居室-01卧,21.68㎡,朝南,4室1厅,"
小区距2号线常青城站步行约588米
 ",11/11,有,2017年建成,智能门锁,30%
自如友家·保利华都·4居室-01卧,12.8㎡,朝南,4室1厅,"
小区距2号线杨家湾站步行约256米
 ",25/28,有,2012年建成,智能门锁,30%
